"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"0","The Gommage","0","0","Maelle","If you’re gonna give someone flowers, you should probably do it BEFORE they wither and die."
"0","The Gommage","0","1","Gustave","What, the flower? Or Sophie?"
"0","The Gommage","0","2","Maelle","Ooh, dark. Sophie would approve. Hey, you said it, not me. The others are waiting for you, you’re supposed to be helping with the festival."
"0","The Gommage","0","3","Gustave","With what? Putting three tables? They’ll manage."
"0","The Gommage","0","4","Maelle","Ah. You underestimate Lumière’s enthusiasm for the Expedition. There’s at least FIVE tables."
"0","The Gommage","0","5","Gustave","Marvellous."
"0","The Gommage","0","6","Maelle","Have you tried throwing with your other arm instead? If you could hit the Paintress directly, that would actually be useful."
"0","The Gommage","0","7","Gustave","You know, hobbies don’t always have to be useful. I’m enjoying the uselessness of today, and readying my usefulness for tomorrow. And soon, we’ll get to do a lot more than throw rocks."
"0","The Gommage","0","8","Maelle","That’s what all the other expeditions said too."
"0","The Gommage","0","9","Gustave","Heyheyhey. You know, you know they gave their lives to lay the trail for us, right?"
"0","The Gommage","0","10","Maelle","Yeah, I know, sorry."
"0","The Gommage","0","11","Gustave","Yeah."
"0","The Gommage","0","12","Maelle","You still got a flower to give, no?"
"0","The Gommage","0","13","Gustave","Yes, yes. It’s just… I’m not sure how to start. After four years apart, what do I say to her, on the day of her Gommage."
"0","The Gommage","0","14","Maelle","You’re asking ME? I dunno, sun’s about to set, so… be direct? “Hey Soph-been a while. Could we–”"
"0","The Gommage","1","0","Maelle","All right, let’s go. I’ll accompany you there. Are you… ready to see her again?"
"0","The Gommage","1","1","Gustave","Yeah, been ready."
"0","The Gommage","1","2","Maelle","I set up these grapple shortcuts. Nice, huh? Don’t tell your sister, though. I sort of “borrowed” the hooks from the Expedition Academy. Wish I had them when I was working as a courier… Come on, Gustave, speed up a bit. Sophie will have already gommaged by the time you’ve arrived."
"0","The Gommage","1","3","Gustave","Maelle."
