"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"14","Visages","0","0","Lune","So this is Visages’ island…"
"14","Visages","0","1","Monoco","He Who Guards Truth With Lies."
"14","Visages","0","2","Sciel","Are those… Faces?"
"14","Visages","0","3","Monoco","An infinite sea of them."
"14","Visages","0","4","Sciel","Is this island… singing?"
"14","Visages","0","5","Maelle","This melody…"
"14","Visages","0","6","Lune","This is creeping me out."
"14","Visages","1","0","Sciel","What’s it doing?"
"14","Visages","1","1","Verso","It’s not attacking…"
"14","Visages","1","2","Maelle","Was that an invitation?"
"14","Visages","1","3","Sciel","So it seems?"
"14","Visages","1","4","Verso","Mm-mm. Feels like a trap."
"14","Visages","1","5","Maelle","I don’t mind a straightforward path for once. Better than battling through a mountain of Nevrons."
"14","Visages","1","6","Sciel","No, Verso’s right. Something feels off."
"14","Visages","1","7","Mark Keeper","Oh, I’m harmless, you don’t need those."
"14","Visages","1","8","Verso","Well, if you’re harmless, then these weapons will stay harmless too."
"14","Visages","1","9","Mark Keeper","Touché. Well. Visages invites you to join him in his chamber at the end of this path. I assume that’s why you’re here?"
"14","Visages","1","10","Sciel","Where do the other paths lead?"
"14","Visages","1","11","Mark Keeper","You’re free to traverse them. Masks are not just to obscure. They may also illuminate. Look for the masks that you need."
"14","Visages","1","12","Maelle","Meaning?"
"14","Visages","1","13","Mark Keeper","The invitation stands."
"14","Visages","1","14","Sciel","Well. Head straight to the Axon or take the other paths?"
"14","Visages","2","0","narrator","A mask. It seems connected to the Axon. It speaks."
"14","Visages","3","0","Mask","He who painted this world. Seeking what he could not grasp. Longing to share with those he loves. Behind his smile, what could it be?"
"14","Visages","3","1","Lune","Joy."
"14","Visages","4","0","narrator","Something happens."
"14","Visages","5","0","Maelle","Did you hear that?"
"14","Visages","5","1","Verso","That was the Axon."
"14","Visages","5","2","Sciel","Destroying these masks seems to hurt him."
"14","Visages","5","3","Lune","Then let’s keep doing that."
"14","Visages","5","4","Blooraga","Long ago, this island was just like any other. Some humans even decided to come and build their life here. Then the tremors came, the landscape changed, and… the humans were nowhere to be found… I hope we meet again! It’s a tad lonely around here."
"14","Visages","6","0","Sciel","I know they’re Nevrons, but… witnessing the sorrow of others… I can’t help but feel for them."
"14","Visages","6","1","Monoco","A noble but tremendously fatal impulse."
"14","Visages","7","0","narrator","A mask. It seems connected to the Axon. It speaks."
"14","Visages","8","0","Mask","He who lives in-between. Behind his veil, emotions swell. For a life forced to paint. What is he but a reflection of…"
"14","Visages","8","1","Lune","Sadness."
"14","Visages","9","0","narrator","Something happens."
"14","Visages","10","0","Maelle","Yeah, it definitely hurts him. I think I saw one more path."
"14","Visages","10","1","Verso","That’s good, we’re weakening him."
"14","Visages","10","2","Sciel","This feels… off…"
"14","Visages","11","0","Lune","Everything’s destroyed."
"14","Visages","11","1","Monoco","Normally I enjoy a little destruction, but this doesn’t feel right."
"14","Visages","11","2","Sciel","It’s rage."
"14","Visages","12","0","narrator","A mask. It seems connected to the Axon. It speaks."
"14","Visages","13","0","Mask","He who cannot fight fate. Behind his scowl, emotions blaze. But in the shadows, his temper fades. What am I but a mask of…"
"14","Visages","13","1","Lune","Anger."
"14","Visages","14","0","narrator","Something happens."
"14","Visages","15","0","Maelle","I think that’s all of them."
"14","Visages","15","1","Lune","We should be able to fight the Axon properly now."
"14","Visages","15","2","Verso","Let’s answer this thing’s invitation."
"14","Visages","16","0","Lune","Monoco, what does that mean, “He Who Guards Truth With Lies?”"
