"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"21","The Reacher","0","0","narrator","Maelle asks Verso if they could talk by the lake. They walk there together."
"21","The Reacher","1","0","Verso","…"
"21","The Reacher","1","1","Maelle","I found the letter."
"21","The Reacher","1","2","Verso","What?"
"21","The Reacher","1","3","Maelle","From Alicia."
"21","The Reacher","1","4","Verso","…"
"21","The Reacher","1","5","Maelle","I need to see her. I want to talk to her. And understand…"
"21","The Reacher","1","6","Verso","Understand what?"
"21","The Reacher","1","7","Maelle","Why Maman…"
"21","The Reacher","1","8","Verso","What, kept her scars? No. Don’t go messing with her head, she doesn’t need that, and she doesn’t owe you any answers."
"21","The Reacher","1","9","Maelle","She’s the one who kept coming to me. I think she wants to see me."
"21","The Reacher","1","10","Verso","Just leave her be. Please."
"21","The Reacher","1","11","Maelle","Verso. You’re not doing her any favours. You already destroyed her world. Maybe I can help her. She doesn’t owe me, but… maybe I owe her."
"21","The Reacher","1","12","Verso","…"
"21","The Reacher","1","13","Maelle","And let’s not talk about what YOU owe her. Don’t you wanna see her too?"
"21","The Reacher","1","14","Verso","Yeah, of course. She doesn’t want to see me though. Not after everything."
"21","The Reacher","1","15","Maelle","Then she can throw us out and we’ll leave her alone."
"21","The Reacher","1","16","Verso","…"
"21","The Reacher","1","17","Maelle","Is that a yes?"
"21","The Reacher","1","18","Verso","…"
"21","The Reacher","1","19","Maelle","Great, where is she?"
"21","The Reacher","1","20","Verso","If I had to guess… There is a place she loves, at the top of the mountain near the Monolith. With the third Axon."
"21","The Reacher","1","21","Maelle","Oh. That Axon… I guess we’re climbing."
"21","The Reacher","2","0","narrator","Verso promised to take Maelle to his sister. She is most likely in a giant on the island of the last Axon, near the Monolith."
"21","The Reacher","3","0","Lune","Another Axon. How did it get so large?"
"21","The Reacher","3","1","Verso","She wasn’t always this tall. But she’s obsessed with reaching the stars, so…"
"21","The Reacher","3","2","Maelle","Papa and his parables."
"21","The Reacher","3","3","Verso","Parables?"
