"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"29","A Life to Paint","0","0","Verso","Alicia, I beg you, stop him from painting."
"29","A Life to Paint","0","1","Maelle","Don’t say that, please, don’t say that."
"29","A Life to Paint","0","2","Verso","Hey, please, listen to me. Only you can do this. You can do this, please. Unpaint me. Unpaint me!"
"29","A Life to Paint","0","3","Maelle","Verso…"
"29","A Life to Paint","0","4","Verso","Please. I don’t want this life."
"29","A Life to Paint","0","5","Maelle","Stop saying that."
"29","A Life to Paint","0","6","Verso","I don’t want this life… I don’t want this life…"
"29","A Life to Paint","0","7","Maelle","I just– I just wanted to live this lifetime together. This lifetime that was stolen from us. Please, brother… Please."
"29","A Life to Paint","0","8","Verso","I don’t want this life… Help me… help me…"
"29","A Life to Paint","0","9","Maelle","If you could grow old… would you… find a reason to smile?"
