"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"5","Ancient Sanctuary","0","0","Maelle","That’s a lot of red trees to search–"
"5","Ancient Sanctuary","0","1","Lune","They must have some sort of track or trail leading to the village."
"5","Ancient Sanctuary","0","2","Gustave","Wait, I heard something. It might be Nevrons. Be careful, okay?"
"5","Ancient Sanctuary","1","0","Maelle","Wow…"
"5","Ancient Sanctuary","1","1","Gustave","That’s a lot of dead Nevrons."
"5","Ancient Sanctuary","1","2","Lune","Who did th–"
"5","Ancient Sanctuary","1","3","???","NEVRON! ALERT! NEVRON! ALERT!"
"5","Ancient Sanctuary","1","4","Gustave","I don’t see any–"
"5","Ancient Sanctuary","1","5","Lune","I think they mean us."
"5","Ancient Sanctuary","1","6","Maelle","They must be Gestrals! They’re cute, but they’re idiots."
"5","Ancient Sanctuary","1","7","Gustave","Oh, fucking– Hey, hey, we’re NOT Nevrons!"
"5","Ancient Sanctuary","2","0","Maelle","Don’t worry, we don’t want to hurt you, Patate. Noco sent us."
"5","Ancient Sanctuary","2","1","Karatom","Our Sakapatate was supposed to be INVINCIBLE. Wait– Noco sent you? OH! DID NOCO SEND YOU TO HELP US BUILD A BETTER SAKAPATATE?!"
"5","Ancient Sanctuary","2","2","Lune","If you guide us to your village–"
"5","Ancient Sanctuary","2","3","Karatom","OOOOOH, what’s this? Cool. Ok, deal! Give me the arm for our Sakapatate and I’ll show you the village."
"5","Ancient Sanctuary","2","4","Maelle","Guide us to your village, and maybe, he’ll make you something better."
"5","Ancient Sanctuary","2","5","Gustave","Wait, what d’you–"
"5","Ancient Sanctuary","2","6","Karatom","How do I know you’re not lying?"
"5","Ancient Sanctuary","2","7","Maelle","Trust me, I hate liars."
"5","Ancient Sanctuary","2","8","Karatom","Mmmmmmm. OK DEAL! Follow me. There are lots more Sakapatates. You’ll be fine, just don’t die."
"5","Ancient Sanctuary","2","9","Gustave","You’re better with Gestrals than humans."
"5","Ancient Sanctuary","2","10","Maelle","They’re less complicated."
"5","Ancient Sanctuary","3","0","Gustave","These things are fascinating–"
"5","Ancient Sanctuary","3","1","Lune","How do they even stand? This place is confusing."
"5","Ancient Sanctuary","3","2","Maelle","They built it to make their village harder to find."
"5","Ancient Sanctuary","4","0","Tropa","INTRUDER ALERT! INTRUDER ALERT! Send forth the ULTIMATE WEAPON!"
"5","Ancient Sanctuary","4","1","Peron","But they’re human."
"5","Ancient Sanctuary","4","2","Tropa","Shhh. Now’s our chance to test the Ultimate Sakapatate in a REAL fight."
"5","Ancient Sanctuary","4","3","Peron","Oh, yeah, so cool, so cool!"
"5","Ancient Sanctuary","4","4","Gustave","They sound like kids."
"5","Ancient Sanctuary","4","5","Lune","We must be getting close to the Village."
"5","Ancient Sanctuary","4","6","Tropa","En garde, warriors! Face our ULTIMATE CREATION!"
"5","Ancient Sanctuary","4","7","Maelle","Kinda looks the same as all the others."
"5","Ancient Sanctuary","4","8","Karatom","Those were supposed to be invincible, but this one is even MORE invincible."
"5","Ancient Sanctuary","4","9","Gustave","Hey, don’t get cocky, Maelle. Look at its equipment. That looks a lot more dangerous than the others. No, seriously."
"5","Ancient Sanctuary","5","0","Peron","This Sakapatate is GARBAGE!"
"5","Ancient Sanctuary","5","1","Karatom","Oh, you’re good! Chef’s definitely gonna wanna meet you."
"5","Ancient Sanctuary","5","2","Maelle","Chef?"
"5","Ancient Sanctuary","5","3","Karatom","Golgra: The BEST FIGHTER of ALL the Gestrals EVER, alive OR hibernating. Golgra will wanna see you right away. Let’s go!"
