"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"6","Gestral Village","0","0","Gestral kid","Wow, the village looks so cool!!"
"6","Gestral Village","0","1","Gustave","Is this your first time here?"
"6","Gestral Village","0","2","Gestral kid","First time this life! I got revived at the Sacred River not too long ago. I’m only 3,7 hours old!"
"6","Gestral Village","0","3","Gustave","That’s interesting… Thank you, little one."
"6","Gestral Village","0","4","Gestral kid","Time to train! You should train too."
"6","Gestral Village","0","5","Gestral kid","(whisper)"
"6","Gestral Village","0","6","Gestral kid","I’m serious, you really need to train. Gotta train hard and get back to my old physique! Then I can go fight!"
"6","Gestral Village","0","7","Gustave","Your old physique? To fight?"
"6","Gestral Village","0","8","Gestral kid","Yeah, see, in my last life, I was allll muscle! But now I’m only 3,8 hours old, and I have to build myself up all over again, so I can prove myself in the arena!"
"6","Gestral Village","0","9","Gustave","(What is he talking about?)"
"6","Gestral Village","0","10","Gestral kid","Ok, time to go train. Like Golgra, time spent yapping is time you could have spent TRAINING. Wish me luck!"
"6","Gestral Village","1","0","Gestral","Welcome to the Gestral Village. Expeditioners, eh? You’re a fun looking bunch. Unless you try to cause problems. Then we’ll beat you up. Which will be fun for me, but not for you."
"6","Gestral Village","1","1","Gustave","Noted."
"6","Gestral Village","2","0","Gestral","Me? I’m a nice brush. Doesn’t mean I wouldn’t go for a nice little brawl with you."
"6","Gestral Village","2","1","Gustave","(It’s going to be like this everywhere, huh.)"
"6","Gestral Village","3","0","Lune","It’s… it’s really a village of Gestrals!"
"6","Gestral Village","3","1","Gustave","They seem better at surviving than humans."
"6","Gestral Village","3","2","Maelle","I guess intelligence is not a prerequisite for survival on the continent. Now to find the chief’s house. Probably the biggest one."
"6","Gestral Village","4","0","Gestral warrior","You may come in."
"6","Gestral Village","4","1","Golgra","So YOU’RE the warriors who demolished our ULTIMATE Sakapatate?"
"6","Gestral Village","4","2","Maelle","It wasn’t that strong."
"6","Gestral Village","4","3","Golgra","Hmmmm. I see. Well. You’ve earned my respect. What can I do for you?"
"6","Gestral Village","4","4","Lune","Are you the “Chef?”"
"6","Gestral Village","4","5","Golgra","I am indeed the “Chef” of our village. The name’s Golgra."
"6","Gestral Village","4","6","Lune","There are so many questions I’d love to ask–"
"6","Gestral Village","4","7","Gustave","We need to get to the Paintress. Noco said you could help us cross the sea?"
"6","Gestral Village","4","8","Golgra","Humans. Still so obsessed with the Paintress."
"6","Gestral Village","4","9","Lune","Others have passed through here?"
"6","Gestral Village","4","10","Golgra","A few of your expeditions, every few years. Hard to keep track. Hmmm. Do you not have your own boat? How did you get here in the first place?"
"6","Gestral Village","4","11","Lune","A white-haired man destroyed it."
"6","Gestral Village","4","12","Golgra","And you survived? My respect."
"6","Gestral Village","4","13","Lune","You know him?"
"6","Gestral Village","4","14","Golgra","He attacked the village once. Some of us survived. Somehow. Mmm. Ok. You have no boat. In that case, your best bet is Esquie. If you ask nicely, maybe Esquie can take you across the water."
"6","Gestral Village","4","15","Lune","So Esquie exists!"
"6","Gestral Village","4","16","Golgra","Of course! Esquie lives not far from here. But only the greatest warriors are allowed through. You need a password."
"6","Gestral Village","4","17","Maelle","Why?"
"6","Gestral Village","4","18","Golgra","Esquie is very friendly, but Esquie could also accidentally eat you. Esquie doesn’t know its own strength sometimes. It would be irresponsible to let weaklings visit Esquie."
"6","Gestral Village","4","19","Maelle","We already defeated your Ultimate Sakapatate."
"6","Gestral Village","4","20","Golgra","Not. Good. Enough. You’ll have to enter our Legendary Tournament to get the password. This is the Gestral way. You will be fighting our Legendary Warriors. They are old so it should be easy."
"6","Gestral Village","4","21","Lune","What is this tournament?"
"6","Gestral Village","4","22","Golgra","Now I’m excited. Let’s see what you can do. Oh, and you’ll also fight the Stranger. Yeah, that will be fun."
"6","Gestral Village","4","23","Lune","The Stranger?"
"6","Gestral Village","4","24","Golgra","Okay, enough talk. Go fight now. Do you want to go to the arena directly or do you want to beat up a few gestrals around here first?"
"6","Gestral Village","4","25","Lune","We’ll… look around first."
"6","Gestral Village","4","26","Golgra","Very well. The Arena is on the other side of the village when you’re ready."
"6","Gestral Village","5","0","Noco","You guys are so slow; I went on many other adventures and still I beat you here!"
"6","Gestral Village","6","0","Gestral","When I was little, I swore I’d enter the arena as soon as I turned thirty. My birthday was yesterday… And I’m so nervous I’ve started pulling all my bristles out. I’m too young to lose my bristles!! You’ve got lovely bristles too, so you must understand my pain!"
"6","Gestral Village","6","1","Lune","Uh, yes, I sure do."
"6","Gestral Village","6","2","Gestral","I can’t fight BALD! Although… Mandsol was bald and he’s the greatest champion of all time. Hmmm… that gives me an idea…"
"6","Gestral Village","7","0","Tall Gestral","You’re on your way to the Sakapatate factory? I hope they choose me as a test weapon!"
"6","Gestral Village","7","1","Lune","You sound way too eager about getting beaten up."
"6","Gestral Village","7","2","Tall Gestral","Oh yes, pain is life."
"6","Gestral Village","7","3","Lune","Good for you…"
"6","Gestral Village","7","4","Gestral kid","TASTE MY WRATH! BRUSH KICK!"
"6","Gestral Village","8","0","Gestral kid 1","They’re building new Sakapatates! Can’t wait to see what they come up with!"
"6","Gestral Village","8","1","Gestral kid 2","Yeah! I heard the new ones have laser cannons!"
"6","Gestral Village","8","2","Gestral kid 3","And a Void Sword! Can you imagine?"
"6","Gestral Village","8","3","Lune","That’s great, but could they make sure these Sakapatates only attack Nevrons?"
"6","Gestral Village","8","4","Gestral kid 2","No! It should attack Gestrals too so we can fight it!"
"6","Gestral Village","8","5","Gestral kid 1","Oh, good idea! Let’s tell them that!"
"6","Gestral Village","8","6","Gestral kid 3","FIGHT! FIGHT! FIGHT! FIGHT! FIGHT! FIGHT! FIGHT!"
"6","Gestral Village","8","7","Lune","It’s a wonder Gestrals have survived this long…"
"6","Gestral Village","9","0","Olivierso","Expeditioners who haven’t died yet! Incredible. You might have what it takes to triumph over the MOST dangerous of Nevrons."
"6","Gestral Village","9","1","Lune","We’ve fought plenty of dangerous Nevrons already."
