"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"9","Meet Verso","0","0","Esquie","Mon ami! Oho, you’ve put on a lot of weight."
"9","Meet Verso","0","1","Verso","I could say the same for you, you giant marshmallow. Bet you lost your stones again?"
"9","Meet Verso","0","2","Esquie","Oho, you know me! But now you’re here! We can go find them."
"9","Meet Verso","0","3","Verso","Yeah, buddy, we’ll find them. Tell me… did you tell them about… you know what?"
"9","Meet Verso","0","4","Esquie","Oh, “Maman’s” the word! I promised."
"9","Meet Verso","0","5","Verso","Great, I’m counting on you."
"9","Meet Verso","0","6","Esquie","Always, mon ami!"
"9","Meet Verso","1","0","Lune","Expedition zero left sixty seven years ago. Which would make you-"
"9","Meet Verso","1","1","Verso","About a hundred. Yeah."
"9","Meet Verso","1","2","Lune","Tell me about the Fracture."
"9","Meet Verso","1","3","Verso","…"
"9","Meet Verso","1","4","Lune","…"
"9","Meet Verso","1","5","Verso","…"
"9","Meet Verso","1","6","Lune","…"
"9","Meet Verso","1","7","Verso","I’m not going to get much sleep tonight, am I?"
"9","Meet Verso","1","8","Lune","Mhm."
"9","Meet Verso","2","0","Verso","I’m really sorry I didn’t arrive sooner. He was… your brother?"
"9","Meet Verso","2","1","Maelle","Something like that."
"9","Meet Verso","2","2","Verso","Losing family is diffic-"
"9","Meet Verso","2","3","Maelle","I know- I know what you’re going to say. You want to offer your condolences. You want to say something comforting. But- I don’t need it. I’ve had enough condolences. I- I’ve lost so many families now, I- I- I just need- Can you please go?"
"9","Meet Verso","3","0","Verso","Head for the Monolith. Through the quarry to the north."
"9","Meet Verso","3","1","Sciel","Everyone ok?"
"9","Meet Verso","3","2","Maelle","…"
"9","Meet Verso","4","0","Lune","This world is full of wonders."
"9","Meet Verso","4","1","Maelle","Yet everywhere we go, we walk with death."
