"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"13","Falling Leaves","0","0","Verso","Careful, some Expeditions died here."
"13","Falling Leaves","0","1","Lune","Okay."
"13","Falling Leaves","0","2","Verso","There’s an abnormal Nevron roaming about and it has a taste for Expeditioner armbands."
"13","Falling Leaves","0","3","Gestral","(gibberish) Oh, hello, I suppose you want to fight?"
"13","Falling Leaves","0","4","Lune","Non."
"13","Falling Leaves","0","5","Gestral","(gibberish) Oh, you’re the first person I’ve met who doesn’t."
"13","Falling Leaves","0","6","Lune","What is this place?"
"13","Falling Leaves","0","7","Gestral","(gibberish) Uh, it’s a first. Can’t you see? A few of your Expeditioner friends are here too."
"13","Falling Leaves","0","8","Lune","Other survivors?! Can you show us?"
"13","Falling Leaves","0","9","Gestral","(gibberish) Oh, yeah, no, they’re dead. Easy to spot, you’ll see them along the way. Just avoid going to the top of the cliff and you’ll be fine. The big one over there is… Yeah, maybe don’t go there."
"13","Falling Leaves","0","10","Lune","We’re going to go anyway."
"13","Falling Leaves","0","11","Gestral","(gibberish) Suit yourself. I’ll keep an eye out for Expedition 32. Have fun and try not to die."
"13","Falling Leaves","0","12","Lune","Thanks."
"13","Falling Leaves","1","1","Lune","(It’s not talking.)"
"13","Falling Leaves","2","0","Young boy","(gibberish) You… You… breathe? I thought her paintings took you all. I wish I could understand… Why she does that…"
"13","Falling Leaves","2","1","Lune","Who are you talking about?"
"13","Falling Leaves","2","2","Young boy","(gibberish) She’s always been there. From the moment I was born. Could you find her? Maybe she will talk to you. Ask her why… She killed them all…"
"13","Falling Leaves","2","3","Lune","We’ll try to find her."
"13","Falling Leaves","2","4","Young boy","(gibberish) Thank you… A part of her is around here."
"13","Falling Leaves","3","0","Lady of Sap","(gibberish) …"
"13","Falling Leaves","3","1","Lune","(Is this the person the boy mentioned?)"
"13","Falling Leaves","3","2","Lady of Sap","(gibberish) …"
"13","Falling Leaves","3","3","Lune","Hey…"
"13","Falling Leaves","3","4","Lady of Sap","(gibberish) …"
"13","Falling Leaves","3","5","Lune","We met a boy, he asked us to talk to you."
"13","Falling Leaves","3","6","Lady of Sap","(gibberish) …"
"13","Falling Leaves","3","7","Lune","He asked, why are your paintings taking us all?"
"13","Falling Leaves","3","8","Lady of Sap","(gibberish) … I do it for him… I do it for us… To respect… What he created… What we created…"
"13","Falling Leaves","3","9","Lune","What does that mean?"
"13","Falling Leaves","3","10","Lady of Sap","(gibberish) …"
"13","Falling Leaves","3","11","Lune","(It has gone silent again… We should report back to the boy.)"
"13","Falling Leaves","4","0","Young boy","(gibberish) Please, find her… And ask her why she kills them all…"
"13","Falling Leaves","4","1","Lune","We found her."
"13","Falling Leaves","4","2","Young boy","(gibberish) Really? What did she say?"
"13","Falling Leaves","4","3","Lune","That she is doing this for you. To respect what you created, with her."
"13","Falling Leaves","4","4","Young boy","(gibberish) But… But… That’s not… What I wanted… I never… Please… Maybe you can do it… Stop her paintings from erasing any more… Be careful… (The boy has gone silent.)"
"13","Falling Leaves","5","0","Young boy","(gibberish) You succeeded… Thank you… Thank you… Take this? It is a song she used to play to me, when we were together…"
"13","Falling Leaves","6","0","Lune","This looks similar to Lumière’s shield dome. Maybe we can just cross it."
"13","Falling Leaves","6","1","Verso","Yeah, sure."
"13","Falling Leaves","6","2","Lune","(touch the barrier)"
"13","Falling Leaves","6","3","Verso","(laught) I’m telling you, we can’t. Axons first. It’s ok, you’ll be fine."
"13","Falling Leaves","6","4","Lune","(annoyed sound)"
"13","Falling Leaves","6","5","Verso","You wanna try again?"
"13","Falling Leaves","6","6","Lune","I’m okay."
"13","Falling Leaves","6","7","Verso","Okay."
