"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"16","The Monolith","2","0","Lune","Maelle, you should do the honours."
"16","The Monolith","2","1","Maelle","(screams)"
"16","The Monolith","3","0","Maelle","We can– We can do this. For Gustave."
"16","The Monolith","3","1","Lune","For all of them."
"16","The Monolith","4","0","Lune","Our attacks do nothing!"
"16","The Monolith","4","1","Verso","I don’t understand, the Gradient Attacks should work– Wait, Maelle."
"16","The Monolith","4","2","Maelle","I don’t think this is the–"
"16","The Monolith","4","3","Verso","No, nononono."
"16","The Monolith","4","4","Lune","Everybody okay?"
"16","The Monolith","4","5","Verso","Follow her. Quickly."
"16","The Monolith","4","6","Lune","What?"
"16","The Monolith","4","7","Verso","This might be our only chance."
"16","The Monolith","4","8","Lune","Yeah. Ok."
"16","The Monolith","5","0","Lune","We are… inside the Monolith… What was that thing? Why did it help us inside?"
"16","The Monolith","5","1","Verso","…"
"16","The Monolith","5","2","Sciel","Are you alright, Maelle?"
"16","The Monolith","5","3","Maelle","Up– Up there– She’s– The Paintress– She’s up there."
"16","The Monolith","5","4","Verso","What do you mean?"
"16","The Monolith","5","5","Maelle","I don’t know, but I can sense– The real Paintress– Her heart is above us somewhere."
"16","The Monolith","5","6","Lune","I guess we head up then."
"16","The Monolith","6","0","Lune","Verso, what was that?"
"16","The Monolith","6","1","Verso","I don’t know…"
"16","The Monolith","6","2","Maelle","Fire. Again."
"16","The Monolith","7","0","Lune","Again…"
"16","The Monolith","7","1","Maelle","…"
"16","The Monolith","7","2","Lune","Teaching her children to paint, huh…"
"16","The Monolith","8","0","Lune","Who is she fighting?"
"16","The Monolith","8","1","Sciel","Her husband?"
"16","The Monolith","9","0","Maelle","We’re inside her mind… These are memories…"
"16","The Monolith","9","1","Lune","How do you know that?"
"16","The Monolith","9","2","Maelle","The Chroma here… I can “read” it."
"16","The Monolith","11","0","Lune","I don’t understand…"
"16","The Monolith","11","1","Sciel","Verso, you ok?"
"16","The Monolith","11","2","Verso","Yeah, fine. Let’s keep moving, we’re almost at the top."
"16","The Monolith","12","0","Maelle","Is that- You…"
"16","The Monolith","12","1","Verso","We’re taking her down."
"16","The Monolith","12","2","Renoir","She’s not the only one who grieves. The pain of losing you… She made me inherit it. Punishment, perhaps, for not being there when it mattered. I refuse to lose my son."
"16","The Monolith","12","3","Verso","That son was a stranger."
"16","The Monolith","12","4","Renoir","But you’re not. You’re not."
"16","The Monolith","12","5","Verso","You lost me years ago. And I lost you."
"16","The Monolith","12","6","Renoir","So you leave us no choice? How are you different from her in doing this?"
"16","The Monolith","12","7","Verso","I’m tired."
"16","The Monolith","12","8","Renoir","So trust me. We are your family."
"16","The Monolith","12","9","Verso","Family is… complicated."
"16","The Monolith","12","10","Renoir","If saving you means losing you, then so be it."
"16","The Monolith","12","11","Verso","We only need to incapacitate him."
"16","The Monolith","12","12","Maelle","We’ll find a way to kill him."
"16","The Monolith","13","0","Renoir","Remember who your REAL family is. It’s not her. It’s your sister. Your mother. Me. WE are your family. You would condemn us all to die, for what? Who do you really save with your sacrifice?"
"16","The Monolith","13","1","Maelle","Your sister. And… your mother…"
"16","The Monolith","13","2","Verso","You’re too drunk on your own illusion to understand."
"16","The Monolith","13","3","Renoir","Then let us celebrate the second destruction of the Dessendre family. At long last, we meet. This is all you have left of your son. Destroying it won’t bring your wife back. It will only destroy the last tie you have to each other. I love them too."
"16","The Monolith","13","4","Maelle","We did it, Gustave–"
