"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"1","Festival de l’Expédition","0","0","Lucien","There you are! You can’t hide from us, you know. Like I said, mourning’s best done with friends."
"1","Festival de l’Expédition","0","1","Catherine","Lucien."
"1","Festival de l’Expédition","0","2","Lucien","What? It is. Grieving alone is the worst."
"1","Festival de l’Expédition","0","3","Catherine","Where’s mine?"
"1","Festival de l’Expédition","0","4","Lucien","Santé, les amis!"
"1","Festival de l’Expédition","0","5","Catherine","Santé!"
"1","Festival de l’Expédition","0","6","Gustave","Yeah– Yeah, yeah, no, I could use a drink."
"1","Festival de l’Expédition","0","7","Catherine","Five tables this year, you see that? Told you we’d beat the 34s. Even Maelle showed up, and she hates these things. Wanna go take a look?"
"1","Festival de l’Expédition","0","8","Gustave","Uh, I don’t– Maybe later. I’ll catch up. I’m okay. I’m okay. You go."
"1","Festival de l’Expédition","0","9","Lucien","Yeah. Time for a refill anyway."
"1","Festival de l’Expédition","0","10","Catherine","There’s an “excess of wine” again. Thank your sister for her generosity."
"1","Festival de l’Expédition","0","11","Lucien","Oh, and try to enjoy yourself. Don’t drink alone, you weirdo!"
"1","Festival de l’Expédition","0","12","Gustave","Yeah, right. Enjoy myself. I should check on Maelle, she’s probably alone, as usual. Let’s at least check on Maelle and my apprentices."
"1","Festival de l’Expédition","1","0","Gustave","I knew I’d find you here. Having second thoughts about the Expedition?"
"1","Festival de l’Expédition","1","1","Maelle","Please. I’m more ready to go than you are."
"1","Festival de l’Expédition","1","2","Gustave","Yeah, I know."
"1","Festival de l’Expédition","1","3","Maelle","…"
"1","Festival de l’Expédition","1","4","Gustave","I know we’ve been over this, but as your guardian, I need to say this one more time. The rest of us only have a year left, but you’ve got nine good years before your Gommage. You don’t need to leave yet. It’s a lot of risk."
"1","Festival de l’Expédition","1","5","Maelle","One year out there’s better than nine years in here."
"1","Festival de l’Expédition","1","6","Gustave","I know you think that but–"
"1","Festival de l’Expédition","1","7","Maelle","If anyone should stay, it’s you. You have friends and family who want you here–"
"1","Festival de l’Expédition","1","8","Gustave","So do you–"
"1","Festival de l’Expédition","1","9","Maelle","No, I don’t."
