"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"7","Esquie’s Nest","0","0","Sunniso","Oh, hi, little humans, you need the password to enter."
"7","Esquie’s Nest","0","1","Sciel","Golgra said to shout the password “as loud as we can.” Well, Gustave, you’re the loudest."
"7","Esquie’s Nest","0","2","Gustave","Really? Hey."
"7","Esquie’s Nest","0","3","Sciel","Come on, don’t be shy."
"7","Esquie’s Nest","0","4","Gustave","Ahem. GET OUTTA MY WAY."
"7","Esquie’s Nest","0","5","Sunniso","Geez, you don’t need to be so rude."
"7","Esquie’s Nest","0","6","Gustave","Nonononono, uh… it’s just… um… it’s the password…"
"7","Esquie’s Nest","0","7","Sunniso","Well, I don’t know! Golgra never told me the password. But whatever, just go in."
"7","Esquie’s Nest","0","8","Gustave","Look. I am very sorry. It’s just that Golgra told us that’s the password and I–"
"7","Esquie’s Nest","0","9","Maelle","Come on, it’s a Gestral, he’ll have forgotten in about a minute."
"7","Esquie’s Nest","0","10","Gustave","I’m sorry."
"7","Esquie’s Nest","1","0","Sciel","Interesting decor."
"7","Esquie’s Nest","1","1","Lune","Esquie is said to feed on light."
"7","Esquie’s Nest","1","2","Gustave","Are you ok, Maelle?"
"7","Esquie’s Nest","1","3","Maelle","I dunno. Getting a bit of … déjà vu again."
"7","Esquie’s Nest","1","4","Sciel","The light here– Feels a little– I dunno– Yeah."
"7","Esquie’s Nest","2","0","Lune","Hmmm, no Esquie–"
"7","Esquie’s Nest","2","1","Esquie","WOOOOOOOOOOOH! Bonjour, mes amis."
"7","Esquie’s Nest","2","2","Sciel","Hey. Bonjour, mon ami."
"7","Esquie’s Nest","2","3","Lune","Sciel."
"7","Esquie’s Nest","2","4","Sciel","What? I dunno, he seems nice."
"7","Esquie’s Nest","2","5","Esquie","Oh! It’s you! Hello again, my terrible swimmer friend. You’ve finally come to learn to swim!"
"7","Esquie’s Nest","2","6","Sciel","No? Uh. I’m not– I’m not that fond of water."
