"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"8","Stone Wave Cliffs","0","0","Sciel","Wanna go for a ride? Apparently that was where people went on dates, you know. What do you think happened in those cabins?"
"8","Stone Wave Cliffs","0","1","Gustave","No, actually, my guess is this was Expedition 50. You see, they created this giant wheel and they tried to cross the world."
"8","Stone Wave Cliffs","0","2","Sciel","Okay, okay, professor."
"8","Stone Wave Cliffs","0","3","Esquie","Mes amis! Florrie is close, I can feel it!"
"8","Stone Wave Cliffs","0","4","Maelle","Come on, you can fly, can’t you get Florrie yourself?"
"8","Stone Wave Cliffs","0","5","Esquie","Oh no, too much effort."
"8","Stone Wave Cliffs","0","6","Gustave","So, wait. Esquie is that powerful?"
"8","Stone Wave Cliffs","0","7","Sciel","Apparently so. But also lazy."
"8","Stone Wave Cliffs","0","8","Gustave","All right, let’s go."
"8","Stone Wave Cliffs","0","9","Sciel","What a weird creature."
"8","Stone Wave Cliffs","1","0","Lune","A shrine to the Paintress."
"8","Stone Wave Cliffs","1","1","Gustave","The Paintress destroyed our world. And someone built her a shrine?"
"8","Stone Wave Cliffs","1","2","Lune","The weak-minded turn to whatever they can to explain the unknown."
"8","Stone Wave Cliffs","1","3","Sciel","When you’re at the mercy of a power you don’t understand, you might try anything."
"8","Stone Wave Cliffs","4","0","Maelle","Easier than expected."
"8","Stone Wave Cliffs","4","1","Gustave","Hey don’t jinx us. No need to invite misfortune."
"8","Stone Wave Cliffs","4","2","Lune","I don’t see any stones."
"8","Stone Wave Cliffs","4","3","Maelle","What’s happening?"
"8","Stone Wave Cliffs","4","4","Gustave","Misfortune."
"8","Stone Wave Cliffs","5","0","Maelle","Is it really dead?"
"8","Stone Wave Cliffs","5","1","Gustave","Looks like it."
"8","Stone Wave Cliffs","5","2","Sciel","Is this it?"
"8","Stone Wave Cliffs","5","3","Esquie","Ooooh! FLORRIE! All right! Ready to sail like a snail! Just jump, mes amis! It’s not that high!"
