"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"16","The Monolith","2","0","Lune","Maelle, you should do the honours."
"16","The Monolith","2","1","Maelle","(screams)"
"16","The Monolith","3","0","Maelle","We can– We can do this. For Gustave."
"16","The Monolith","3","1","Lune","For all of them."
"16","The Monolith","4","0","Lune","Our attacks do nothing!"
"16","The Monolith","4","1","Verso","I don’t understand, the Gradient Attacks should work– Wait, Maelle."
"16","The Monolith","4","2","Maelle","I don’t think this is the–"
"16","The Monolith","4","3","Verso","No, nononono."
"16","The Monolith","4","4","Lune","Everybody okay?"
"16","The Monolith","4","5","Verso","Follow her. Quickly."
"16","The Monolith","4","6","Lune","What?"
"16","The Monolith","4","7","Verso","This might be our only chance."
"16","The Monolith","4","8","Lune","Yeah. Ok."
"16","The Monolith","5","0","Lune","We are… inside the Monolith… What was that thing? Why did it help us inside?"
"16","The Monolith","5","1","Verso","…"
"16","The Monolith","5","2","Sciel","Are you alright, Maelle?"
"16","The Monolith","5","3","Maelle","Up– Up there– She’s– The Paintress– She’s up there."
"16","The Monolith","5","4","Verso","What do you mean?"
"16","The Monolith","5","5","Maelle","I don’t know, but I can sense– The real Paintress– Her heart is above us somewhere."
"16","The Monolith","5","6","Lune","I guess we head up then."
"16","The Monolith","6","0","Lune","Verso, what was that?"
"16","The Monolith","6","1","Verso","I don’t know…"
"16","The Monolith","6","2","Maelle","Fire. Again."
"16","The Monolith","7","0","Lune","Again…"
"16","The Monolith","7","1","Maelle","…"
"16","The Monolith","7","2","Lune","Teaching her children to paint, huh…"
"16","The Monolith","8","0","Lune","Who is she fighting?"
"16","The Monolith","8","1","Sciel","Her husband?"
"16","The Monolith","9","0","Maelle","We’re inside her mind… These are memories…"
"16","The Monolith","9","1","Lune","How do you know that?"
"16","The Monolith","9","2","Maelle","The Chroma here… I can “read” it."
"16","The Monolith","11","0","Lune","I don’t understand…"
"16","The Monolith","11","1","Sciel","Verso, you ok?"
"16","The Monolith","11","2","Verso","Yeah, fine. Let’s keep moving, we’re almost at the top."
