"chapter_index","chapter","dialogue_index","line_index","speaker","line"
"29","A Life to Paint","0","0","Maelle","Verso, stop! You can’t just decide this for everyone!"
"29","A Life to Paint","0","1","Verso","We’re all hypocrites, doing the same thing to each other."
"29","A Life to Paint","0","2","Maelle","What about Lune and Sciel and Monoco? What about Esquie?"
"29","A Life to Paint","0","3","Verso","Sciel was right. Grief blinds us. All you see are walls."
"29","A Life to Paint","1","0","Verso","Alicia, I beg you, stop him from painting."
"29","A Life to Paint","1","1","Maelle","Don’t say that, please, don’t say that."
"29","A Life to Paint","1","2","Verso","Hey, please, listen to me. Only you can do this. You can do this, please. Unpaint me. Unpaint me!"
"29","A Life to Paint","1","3","Maelle","Verso…"
"29","A Life to Paint","1","4","Verso","Please. I don’t want this life."
"29","A Life to Paint","1","5","Maelle","Stop saying that."
"29","A Life to Paint","1","6","Verso","I don’t want this life… I don’t want this life…"
"29","A Life to Paint","1","7","Maelle","I just– I just wanted to live this lifetime together. This lifetime that was stolen from us. Please, brother… Please."
"29","A Life to Paint","1","8","Verso","I don’t want this life… Help me… help me…"
"29","A Life to Paint","2","0","Maelle","If you could grow old… would you… find a reason to smile?"
