"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"14","Visages","0","0","Lune","So this is Visages’ island…","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"14","Visages","0","1","Monoco","He Who Guards Truth With Lies.","0.0","0.0","0.0","0.0","0.0","0.2","0.8"
"14","Visages","0","2","Sciel","Are those… Faces?","0.0","0.0","0.5","0.0","0.0","0.3","0.2"
"14","Visages","0","3","Monoco","An infinite sea of them.","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","0","4","Sciel","Is this island… singing?","0.0","0.0","0.4","0.0","0.0","0.3","0.3"
"14","Visages","0","5","Maelle","This melody…","0.0","0.0","0.3","0.0","0.0","0.3","0.4"
"14","Visages","0","6","Lune","This is creeping me out.","0.0","0.0","0.0","0.0","0.0","0.7","0.3"
"14","Visages","1","0","Sciel","What’s it doing?","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"14","Visages","1","1","Verso","It’s not attacking…","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","1","2","Maelle","Was that an invitation?","0.0","0.0","0.4","0.0","0.0","0.3","0.3"
"14","Visages","1","3","Sciel","So it seems?","0.0","0.0","0.3","0.0","0.0","0.3","0.4"
"14","Visages","1","4","Verso","Mm-mm. Feels like a trap.","0.0","0.0","0.0","0.0","0.0","0.6","0.4"
"14","Visages","1","5","Maelle","I don’t mind a straightforward path for once. Better than battling through a mountain of Nevrons.","0.0","0.3","0.0","0.0","0.0","0.2","0.5"
"14","Visages","1","6","Sciel","No, Verso’s right. Something feels off.","0.0","0.0","0.0","0.0","0.0","0.6","0.4"
"14","Visages","1","7","Mark Keeper","Oh, I’m harmless, you don’t need those.","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"14","Visages","1","8","Verso","Well, if you’re harmless, then these weapons will stay harmless too.","0.0","0.0","0.0","0.3","0.0","0.3","0.4"
"14","Visages","1","9","Mark Keeper","Touché. Well. Visages invites you to join him in his chamber at the end of this path. I assume that’s why you’re here?","0.0","0.0","0.0","0.0","0.0","0.2","0.8"
"14","Visages","1","10","Sciel","Where do the other paths lead?","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","1","11","Mark Keeper","You’re free to traverse them. Masks are not just to obscure. They may also illuminate. Look for the masks that you need.","0.0","0.0","0.0","0.0","0.0","0.2","0.8"
"14","Visages","1","12","Maelle","Meaning?","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","1","13","Mark Keeper","The invitation stands.","0.0","0.0","0.0","0.0","0.0","0.2","0.8"
"14","Visages","1","14","Sciel","Well. Head straight to the Axon or take the other paths?","0.0","0.0","0.0","0.0","0.0","0.3","0.7"
"14","Visages","5","0","Maelle","Did you hear that?","0.0","0.0","0.4","0.0","0.0","0.3","0.3"
"14","Visages","5","1","Verso","That was the Axon.","0.0","0.0","0.3","0.0","0.0","0.2","0.5"
"14","Visages","5","2","Sciel","Destroying these masks seems to hurt him.","0.0","0.0","0.3","0.0","0.0","0.3","0.4"
"14","Visages","5","3","Lune","Then let’s keep doing that.","0.0","0.3","0.0","0.0","0.0","0.2","0.5"
"14","Visages","6","0","Sciel","I know they’re Nevrons, but… witnessing the sorrow of others… I can’t help but feel for them.","0.0","0.0","0.0","0.0","0.6","0.2","0.2"
"14","Visages","6","1","Monoco","A noble but tremendously fatal impulse.","0.0","0.0","0.0","0.3","0.0","0.3","0.4"
"14","Visages","10","0","Maelle","Yeah, it definitely hurts him. I think I saw one more path.","0.0","0.3","0.0","0.0","0.0","0.2","0.5"
