"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"16","The Monolith","2","0","Lune","Maelle, you should do the honours.","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"16","The Monolith","2","1","Maelle","(screams)","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"16","The Monolith","3","0","Maelle","We can– We can do this. For Gustave.","0.0","0.8","0.0","0.0","0.0","0.2","0.0"
"16","The Monolith","3","1","Lune","For all of them.","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"16","The Monolith","4","0","Lune","Our attacks do nothing!","0.0","0.0","0.0","0.7","0.0","0.3","0.0"
"16","The Monolith","4","1","Verso","I don’t understand, the Gradient Attacks should work– Wait, Maelle.","0.0","0.0","0.0","0.5","0.0","0.5","0.0"
"16","The Monolith","4","2","Maelle","I don’t think this is the–","0.0","0.0","0.0","0.0","0.0","0.8","0.2"
"16","The Monolith","4","3","Verso","No, nononono.","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"16","The Monolith","4","4","Lune","Everybody okay?","0.0","0.0","0.7","0.0","0.0","0.3","0.0"
"16","The Monolith","4","5","Verso","Follow her. Quickly.","0.0","0.7","0.0","0.0","0.0","0.3","0.0"
"16","The Monolith","4","6","Lune","What?","0.0","0.0","0.8","0.0","0.0","0.2","0.0"
"16","The Monolith","4","7","Verso","This might be our only chance.","0.0","0.7","0.0","0.0","0.0","0.3","0.0"
"16","The Monolith","4","8","Lune","Yeah. Ok.","0.0","0.6","0.0","0.0","0.0","0.4","0.0"
"16","The Monolith","5","0","Lune","We are… inside the Monolith… What was that thing? Why did it help us inside?","0.0","0.0","0.7","0.0","0.0","0.3","0.0"
"16","The Monolith","5","1","Verso","…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"16","The Monolith","5","2","Sciel","Are you alright, Maelle?","0.0","0.0","0.0","0.0","0.5","0.5","0.0"
"16","The Monolith","5","3","Maelle","Up– Up there– She’s– The Paintress– She’s up there.","0.0","0.0","0.0","0.0","0.7","0.3","0.0"
"16","The Monolith","5","4","Verso","What do you mean?","0.0","0.0","0.5","0.0","0.0","0.5","0.0"
"16","The Monolith","5","5","Maelle","I don’t know, but I can sense– The real Paintress– Her heart is above us somewhere.","0.0","0.0","0.0","0.0","0.6","0.4","0.0"
"16","The Monolith","5","6","Lune","I guess we head up then.","0.0","0.7","0.0","0.0","0.0","0.3","0.0"
"16","The Monolith","6","0","Lune","Verso, what was that?","0.0","0.0","0.7","0.0","0.0","0.3","0.0"
"16","The Monolith","6","1","Verso","I don’t know…","0.0","0.0","0.0","0.0","0.5","0.5","0.0"
"16","The Monolith","6","2","Maelle","Fire. Again.","0.0","0.0","0.0","0.0","0.0","0.8","0.2"
"16","The Monolith","7","0","Lune","Again…","0.0","0.0","0.0","0.0","0.7","0.3","0.0"
"16","The Monolith","7","1","Maelle","…","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"16","The Monolith","7","2","Lune","Teaching her children to paint, huh…","0.0","0.0","0.0","0.0","0.6","0.4","0.0"
"16","The Monolith","8","0","Lune","Who is she fighting?","0.0","0.0","0.5","0.0","0.0","0.5","0.0"
