"chapter_index","chapter","dialogue_index","line_index","speaker","line","neutral","sadness","happiness","ambitious","surprise","anger","fear"
"17","A glimpse in the past – Monolith Year 49","0","1","Clea","Alicia?","0.7","0.3","0.0","0.0","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","0","2","Alicia","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","0","3","Clea","Good, you’re awake. Come downstairs.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","1","0","Clea","Come along now, I’m in Renoir’s atelier. Alicia, quit dawdling. End of the corridor, you know where it is. Finally. Our little shadow is awake. Our parents are quite the stubborn pair. They’re still fighting each other inside the Canvas. He has her imprisoned at the top of her Monolith and she has him trapped beneath. It’s a stalemate.","0.5","0.2","0.0","0.3","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","1","1","Alicia","(I’m worried. They’ve been inside the Canvas for so long.)","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"17","A glimpse in the past – Monolith Year 49","1","2","Clea","They’ve spent longer than this in other Canvases. It’s not that dire.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","1","3","Alicia","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","1","4","Clea","Yes, I know. Maman’s been in there for quite a while already. And Renoir is wasting time in there, trying to help someone who doesn’t want his help. We have more urgent matters to attend to.","0.5","0.0","0.0","0.2","0.0","0.3","0.0"
"17","A glimpse in the past – Monolith Year 49","1","5","Alicia","(Did you see… Verso?)","0.0","0.6","0.0","0.0","0.0","0.0","0.4"
"17","A glimpse in the past – Monolith Year 49","1","6","Clea","You’re as bad as Aline. He’s not Verso. He’s a painted copy, built from our mother’s memories. You’d do well to remember that.","0.3","0.0","0.0","0.2","0.0","0.5","0.0"
"17","A glimpse in the past – Monolith Year 49","1","7","Alicia","(I know that, I’m not a child.)","0.5","0.0","0.0","0.0","0.0","0.5","0.0"
"17","A glimpse in the past – Monolith Year 49","1","8","Clea","Don’t roll your eyes at me, sister dear. I know you’re not a child, but you’re not grown either. And too many in our family have lost all caution and sense of late.","0.4","0.0","0.0","0.2","0.0","0.4","0.0"
"17","A glimpse in the past – Monolith Year 49","1","9","Alicia","(Can you help Maman?)","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"17","A glimpse in the past – Monolith Year 49","1","10","Clea","Help her do what? Run away and hide? She’s already succeeded there. Honestly, if Aline wants to numb herself in the Canvas, then let her.","0.3","0.0","0.0","0.2","0.0","0.5","0.0"
"17","A glimpse in the past – Monolith Year 49","1","11","Alicia","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","A glimpse in the past – Monolith Year 49","1","12","Clea","Grief is no excuse. We’re all grieving. She’s a grown woman and she was the head of the Painter’s Council. She failed her responsibilities. I don’t have time to coddle her. And before Verso died, she would have said the same.","0.3","0.0","0.0","0.2","0.0","0.5","0.0"
