"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"29","A Life to Paint","0","0","Maelle","Verso, stop! You can’t just decide this for everyone!","0.0","0.0","0.0","0.7","0.2","0.0","0.1"
"29","A Life to Paint","0","1","Verso","We’re all hypocrites, doing the same thing to each other.","0.0","0.0","0.0","0.3","0.5","0.0","0.2"
"29","A Life to Paint","0","2","Maelle","What about Lune and Sciel and Monoco? What about Esquie?","0.0","0.0","0.0","0.0","0.7","0.2","0.1"
"29","A Life to Paint","0","3","Verso","Sciel was right. Grief blinds us. All you see are walls.","0.0","0.0","0.0","0.0","0.8","0.0","0.2"
"29","A Life to Paint","1","0","Verso","Alicia, I beg you, stop him from painting.","0.0","0.0","0.0","0.0","0.7","0.2","0.1"
"29","A Life to Paint","1","1","Maelle","Don’t say that, please, don’t say that.","0.0","0.0","0.0","0.0","0.8","0.1","0.1"
"29","A Life to Paint","1","2","Verso","Hey, please, listen to me. Only you can do this. You can do this, please. Unpaint me. Unpaint me!","0.0","0.0","0.0","0.0","0.6","0.3","0.1"
"29","A Life to Paint","1","3","Maelle","Verso…","0.0","0.0","0.0","0.0","0.8","0.1","0.1"
"29","A Life to Paint","1","4","Verso","Please. I don’t want this life.","0.0","0.0","0.0","0.0","0.7","0.2","0.1"
"29","A Life to Paint","1","5","Maelle","Stop saying that.","0.0","0.0","0.0","0.0","0.7","0.2","0.1"
"29","A Life to Paint","1","6","Verso","I don’t want this life… I don’t want this life…","0.0","0.0","0.0","0.0","0.7","0.2","0.1"
"29","A Life to Paint","1","7","Maelle","I just– I just wanted to live this lifetime together. This lifetime that was stolen from us. Please, brother… Please.","0.0","0.0","0.0","0.0","0.8","0.1","0.1"
"29","A Life to Paint","1","8","Verso","I don’t want this life… Help me… help me…","0.0","0.0","0.0","0.0","0.7","0.2","0.1"
"29","A Life to Paint","2","0","Maelle","If you could grow old… would you… find a reason to smile?","0.0","0.0","0.0","0.0","0.6","0.2","0.2"
