"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"5","Ancient Sanctuary","0","0","Maelle","That’s a lot of red trees to search–","0.0","0.0","0.0","0.0","0.3","0.3","0.4"
"5","Ancient Sanctuary","0","1","Lune","They must have some sort of track or trail leading to the village.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"5","Ancient Sanctuary","0","2","Gustave","Wait, I heard something. It might be Nevrons. Be careful, okay?","0.0","0.0","0.0","0.0","0.0","0.7","0.3"
"5","Ancient Sanctuary","1","0","Maelle","Wow…","0.5","0.0","0.5","0.0","0.0","0.0","0.0"
"5","Ancient Sanctuary","1","1","Gustave","That’s a lot of dead Nevrons.","0.0","0.0","0.3","0.0","0.4","0.3","0.0"
"5","Ancient Sanctuary","1","2","Lune","Who did th–","0.0","0.0","0.5","0.0","0.5","0.0","0.0"
"5","Ancient Sanctuary","1","3","???","(gibberish) NEVRON! ALERT! NEVRON! ALERT!","0.0","0.0","0.0","0.0","0.0","0.8","0.2"
"5","Ancient Sanctuary","1","4","Gustave","I don’t see any–","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"5","Ancient Sanctuary","1","5","Lune","I think they mean us.","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"5","Ancient Sanctuary","1","6","Maelle","They must be Gestrals! They’re cute, but they’re idiots.","0.4","0.0","0.3","0.0","0.0","0.0","0.3"
"5","Ancient Sanctuary","1","7","Gustave","Oh, fucking– Hey, hey, we’re NOT Nevrons!","0.0","0.0","0.0","0.7","0.0","0.3","0.0"
"5","Ancient Sanctuary","2","0","Maelle","Don’t worry, we don’t want to hurt you, Patate. Noco sent us.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"5","Ancient Sanctuary","2","1","Karatom","(gibberish) Our Sakapatate was supposed to be INVINCIBLE. Wait– Noco sent you? OH! DID NOCO SEND YOU TO HELP US BUILD A BETTER SAKAPATATE?!","0.3","0.0","0.4","0.0","0.0","0.3","0.0"
"5","Ancient Sanctuary","2","2","Lune","If you guide us to your village–","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"5","Ancient Sanctuary","2","3","Karatom","(gibberish) OOOOOH, what’s this? Cool. Ok, deal! Give me the arm for our Sakapatate and I’ll show you the village.","0.4","0.0","0.4","0.0","0.0","0.2","0.0"
"5","Ancient Sanctuary","2","4","Maelle","Guide us to your village, and maybe, he’ll make you something better.","0.0","0.4","0.0","0.0","0.0","0.0","0.6"
"5","Ancient Sanctuary","2","5","Gustave","Wait, what d’you–","0.0","0.0","0.5","0.0","0.0","0.5","0.0"
"5","Ancient Sanctuary","2","6","Karatom","(gibberish) How do I know you’re not lying?","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"5","Ancient Sanctuary","2","7","Maelle","Trust me, I hate liars.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"5","Ancient Sanctuary","2","8","Karatom","(gibberish) Mmmmmmm. OK DEAL! Follow me. There are lots more Sakapatates. You’ll be fine, just don’t die.","0.4","0.0","0.3","0.0","0.0","0.3","0.0"
"5","Ancient Sanctuary","2","9","Gustave","You’re better with Gestrals than humans.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"5","Ancient Sanctuary","2","10","Maelle","They’re less complicated.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"5","Ancient Sanctuary","4","0","Tropa","(gibberish) INTRUDER ALERT! INTRUDER ALERT! Send forth the ULTIMATE WEAPON!","0.0","0.0","0.0","0.0","0.0","0.8","0.2"
"5","Ancient Sanctuary","4","1","Peron","(gibberish) But they’re human.","0.0","0.0","0.3","0.0","0.0","0.4","0.3"
"5","Ancient Sanctuary","4","2","Tropa","(gibberish) Shhh. Now’s our chance to test the Ultimate Sakapatate in a REAL fight.","0.0","0.5","0.3","0.0","0.0","0.2","0.0"
"5","Ancient Sanctuary","4","3","Peron","(gibberish) Oh, yeah, so cool, so cool!","0.4","0.3","0.3","0.0","0.0","0.0","0.0"
