"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"6","Gestral Village","3","0","Lune","It’s… it’s really a village of Gestrals!","0.6","0.0","0.4","0.0","0.0","0.0","0.0"
"6","Gestral Village","3","1","Gustave","They seem better at surviving than humans.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","3","2","Maelle","I guess intelligence is not a prerequisite for survival on the continent. Now to find the chief’s house. Probably the biggest one.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","1","Golgra","(gibberish) So YOU’RE the warriors who demolished our ULTIMATE Sakapatate?","0.0","0.0","0.7","0.3","0.0","0.0","0.0"
"6","Gestral Village","4","2","Maelle","It wasn’t that strong.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","3","Golgra","(gibberish) Hmmmm. I see. Well. You’ve earned my respect. What can I do for you?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","4","Lune","Are you the “Chef?”","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"6","Gestral Village","4","5","Golgra","(gibberish) I am indeed the “Chef” of our village. The name’s Golgra.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","6","Lune","There are so many questions I’d love to ask–","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","7","Gustave","We need to get to the Paintress. Noco said you could help us cross the sea?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","8","Golgra","(gibberish) Humans. Still so obsessed with the Paintress.","0.0","0.0","0.0","0.2","0.0","0.0","0.8"
"6","Gestral Village","4","9","Lune","Others have passed through here?","0.0","0.0","0.6","0.0","0.0","0.0","0.4"
"6","Gestral Village","4","10","Golgra","(gibberish) A few of your expeditions, every few years. Hard to keep track. Hmmm. Do you not have your own boat? How did you get here in the first place?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","11","Lune","A white-haired man destroyed it.","0.0","0.0","0.0","0.0","0.4","0.6","0.0"
"6","Gestral Village","4","12","Golgra","(gibberish) And you survived? My respect.","0.0","0.0","0.5","0.0","0.0","0.0","0.5"
"6","Gestral Village","4","13","Lune","You know him?","0.0","0.0","0.7","0.0","0.0","0.3","0.0"
"6","Gestral Village","4","14","Golgra","(gibberish) He attacked the village once. Some of us survived. Somehow. Mmm. Ok. You have no boat. In that case, your best bet is Esquie. If you ask nicely, maybe Esquie can take you across the water.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","15","Lune","So Esquie exists!","0.0","0.0","0.8","0.0","0.0","0.2","0.0"
"6","Gestral Village","4","16","Golgra","(gibberish) Of course! Esquie lives not far from here. But only the greatest warriors are allowed through. You need a password.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"6","Gestral Village","4","17","Maelle","Why?","0.0","0.0","0.5","0.0","0.0","0.5","0.0"
"6","Gestral Village","4","18","Golgra","(gibberish) Esquie is very friendly, but Esquie could also accidentally eat you. Esquie doesn’t know its own strength sometimes. It would be irresponsible to let weaklings visit Esquie.","0.0","0.0","0.0","0.0","0.0","0.7","0.3"
"6","Gestral Village","4","19","Maelle","We already defeated your Ultimate Sakapatate.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
