"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"9","Meet Verso","0","0","Esquie","Mon ami! Oho, you’ve put on a lot of weight.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"9","Meet Verso","0","1","Verso","I could say the same for you, you giant marshmallow. Bet you lost your stones again?","0.6","0.0","0.2","0.2","0.0","0.0","0.0"
"9","Meet Verso","0","2","Esquie","Oho, you know me! But now you’re here! We can go find them.","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"9","Meet Verso","0","3","Verso","Yeah, buddy, we’ll find them. Tell me… did you tell them about… you know what?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"9","Meet Verso","0","4","Esquie","Oh, “Maman’s” the word! I promised.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"9","Meet Verso","0","5","Verso","Great, I’m counting on you.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"9","Meet Verso","0","6","Esquie","Always, mon ami!","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"9","Meet Verso","2","0","Verso","I’m really sorry I didn’t arrive sooner. He was… your brother?","0.0","0.0","0.0","0.0","0.8","0.2","0.0"
"9","Meet Verso","2","1","Maelle","Something like that.","0.0","0.0","0.0","0.0","0.9","0.1","0.0"
"9","Meet Verso","2","2","Verso","Losing family is diffic-","0.0","0.0","0.0","0.0","0.9","0.1","0.0"
"9","Meet Verso","2","3","Maelle","I know- I know what you’re going to say. You want to offer your condolences. You want to say something comforting. But- I don’t need it. I’ve had enough condolences. I- I’ve lost so many families now, I- I- I just need- Can you please go?","0.0","0.0","0.0","0.2","0.8","0.0","0.0"
"9","Meet Verso","3","0","Verso","Head for the Monolith. Through the quarry to the north.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"9","Meet Verso","3","1","Sciel","Everyone ok?","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"9","Meet Verso","3","2","Maelle","…","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"9","Meet Verso","4","0","Lune","This world is full of wonders.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"9","Meet Verso","4","1","Maelle","Yet everywhere we go, we walk with death.","0.0","0.0","0.0","0.0","0.9","0.1","0.0"
